Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,150.899994,152.399994,150.300003,151.399994,151.399994,5881400
2018-02-13,150.899994,151.179993,149.639999,150.750000,150.750000,4891000
2018-02-14,150.190002,155.000000,150.000000,154.759995,154.759995,5479000
2018-02-15,155.500000,156.860001,153.699997,156.009995,156.009995,5623600
2018-02-16,155.710007,157.789993,155.690002,156.179993,156.179993,4282900
2018-02-20,155.789993,155.960007,153.869995,155.160004,155.160004,4489600
2018-02-21,155.429993,156.789993,153.899994,153.960007,153.960007,3728600
2018-02-22,154.500000,155.039993,152.789993,153.179993,153.179993,4024600
2018-02-23,154.300003,155.850006,154.070007,155.520004,155.520004,3256100
2018-02-26,155.809998,158.880005,155.509995,158.580002,158.580002,3610300
2018-02-27,158.460007,159.779999,156.529999,156.550003,156.550003,4237300
2018-02-28,157.500000,158.139999,155.800003,155.830002,155.830002,3803500
2018-03-01,155.529999,156.970001,152.789993,153.809998,153.809998,4039300
2018-03-02,152.789993,154.759995,151.880005,154.490005,154.490005,3261100
2018-03-05,154.119995,157.490005,153.750000,156.949997,156.949997,3670600
2018-03-06,157.279999,157.889999,155.160004,155.720001,155.720001,3685700
2018-03-07,155.000000,158.830002,154.729996,158.320007,158.320007,4607700
2018-03-08,159.000000,159.570007,155.070007,156.210007,156.210007,6455600
2018-03-09,157.470001,159.580002,157.300003,159.309998,159.309998,4783200
