Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,23.219999,23.230000,22.280001,22.850000,22.479189,6324400
2018-02-13,22.780001,22.900000,21.980000,22.799999,22.429998,6820600
2018-02-14,21.959999,22.120001,21.639999,21.770000,21.770000,6160400
2018-02-15,21.820000,22.299999,21.709999,22.290001,22.290001,7607400
2018-02-16,22.340000,22.850000,22.340000,22.680000,22.680000,7993600
2018-02-20,22.549999,22.920000,22.440001,22.450001,22.450001,4370400
2018-02-21,22.400000,22.490000,21.780001,21.799999,21.799999,4475100
2018-02-22,21.870001,22.370001,21.809999,21.889999,21.889999,3035100
2018-02-23,22.010000,22.360001,21.910000,22.360001,22.360001,2542600
2018-02-26,22.360001,22.480000,22.120001,22.440001,22.440001,2725700
2018-02-27,22.459999,22.639999,21.730000,21.750000,21.750000,3610700
2018-02-28,21.850000,22.030001,21.620001,21.639999,21.639999,5951200
2018-03-01,21.600000,22.290001,21.480000,21.930000,21.930000,3653200
2018-03-02,21.930000,21.990000,21.650000,21.840000,21.840000,3169900
2018-03-05,21.750000,22.480000,21.750000,22.260000,22.260000,4284000
2018-03-06,22.200001,22.370001,21.879999,22.290001,22.290001,2505600
2018-03-07,22.219999,22.660000,22.070000,22.629999,22.629999,3957700
2018-03-08,22.990000,23.080000,22.559999,22.860001,22.860001,3699800
2018-03-09,22.830000,22.870001,22.379999,22.600000,22.600000,4255700
